REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
"SC","TM01","DEMRESELC",1,2034,0.0168533236466848
"SC","TM01","DEMRESELC",1,2035,0.0170458936687188
"SC","TM01","DEMRESELC",1,2036,0.017240750522281
"SC","TM01","DEMRESELC",1,2037,0.0174379229574796
"SC","TM01","DEMRESELC",1,2038,0.0176374403233835
"SC","TM01","DEMRESELC",1,2039,0.0178393313701009
"SC","TM01","DEMRESELC",1,2040,0.0180436248477402
"SC","TM01","DEMRESELC",1,2041,0.0182503513032913
"SC","TM01","DEMRESELC",1,2042,0.0184595406847836
"SC","TM01","DEMRESELC",1,2043,0.0186712235392073
"SC","TM01","DEMRESELC",1,2044,0.0189237165733511
"SC","TM01","DEMRESELC",1,2045,0.019176209607495
"SC","TM01","DEMRESELC",1,2046,0.0194287020426782
"SC","TM01","DEMRESELC",1,2047,0.0196811950768221
"SC","TM01","DEMRESELC",1,2048,0.0199336881109659
"SC","TM01","DEMRESELC",1,2049,0.0201861811451098
"SC","TM01","DEMRESELC",1,2050,0.0204386741792536
"SC","TM01","DEMCOMELC",1,2019,0.0237605581207306
"SC","TM01","DEMCOMELC",1,2020,0.0177035248430706
"SC","TM01","DEMCOMELC",1,2021,0.0185654956150271
"SC","TM01","DEMCOMELC",1,2022,0.0246755830247641
"SC","TM01","DEMCOMELC",1,2023,0.0251831266547661
"SC","TM01","DEMCOMELC",1,2024,0.0260630524682939
"SC","TM01","DEMCOMELC",1,2025,0.0269441774009207
"SC","TM01","DEMCOMELC",1,2026,0.027809275945072
"SC","TM01","DEMCOMELC",1,2027,0.0286743744892233
"SC","TM01","DEMCOMELC",1,2028,0.0295394736323352
"SC","TM01","DEMCOMELC",1,2029,0.0304045721764865
"SC","TM01","DEMCOMELC",1,2030,0.0312696707206378
"SC","TM01","DEMCOMELC",1,2031,0.0314599622965919
"SC","TM01","DEMCOMELC",1,2032,0.0316521561713761
"SC","TM01","DEMCOMELC",1,2033,0.0318462721106899
"SC","TM01","DEMCOMELC",1,2034,0.0320423292812721
"SC","TM01","DEMCOMELC",1,2035,0.0322403468498616
"SC","TM01","DEMCOMELC",1,2036,0.0324403445821577
"SC","TM01","DEMCOMELC",1,2037,0.0326423428428205
"SC","TM01","DEMCOMELC",1,2038,0.0328463601996283
"SC","TM01","DEMCOMELC",1,2039,0.0330524182151623
"SC","TM01","DEMCOMELC",1,2040,0.0332605372540824
"SC","TM01","DEMCOMELC",1,2041,0.0334707364831276
"SC","TM01","DEMCOMELC",1,2042,0.0336830386628001
"SC","TM01","DEMCOMELC",1,2043,0.0338974635587995
"SC","TM01","DEMCOMELC",1,2044,0.0343558624724877
"SC","TM01","DEMCOMELC",1,2045,0.0348142613861759
"SC","TM01","DEMCOMELC",1,2046,0.0352726602998642
"SC","TM01","DEMCOMELC",1,2047,0.0357310592135524
"SC","TM01","DEMCOMELC",1,2048,0.0361894581272406
"SC","TM01","DEMCOMELC",1,2049,0.0366478570409288
"SC","TM01","DEMCOMELC",1,2050,0.0371062559546171
"SC","TM01","PWRDIST",1,2019,0.0359006141749605
"SC","TM01","PWRDIST",1,2020,0.0301117427404483
"SC","TM01","PWRDIST",1,2021,0.031249586374173
"SC","TM01","PWRDIST",1,2022,0.0376435601393964
"SC","TM01","PWRDIST",1,2023,0.0383536542717242
"SC","TM01","PWRDIST",1,2024,0.0397501859889663
"SC","TM01","PWRDIST",1,2025,0.0411610268746692
"SC","TM01","PWRDIST",1,2026,0.0424016647236101
"SC","TM01","PWRDIST",1,2027,0.0436433765088869
"SC","TM01","PWRDIST",1,2028,0.0448861706159482
"SC","TM01","PWRDIST",1,2029,0.04613005483128
"SC","TM01","PWRDIST",1,2030,0.0473750369413717
"SC","TM01","PWRDIST",1,2031,0.0477490243392757
"SC","TM01","PWRDIST",1,2032,0.0481270918567108
"SC","TM01","PWRDIST",1,2033,0.0485092856136424
"SC","TM01","PWRDIST",1,2034,0.0488956529279569
"SC","TM01","PWRDIST",1,2035,0.0492862405185804
"SC","TM01","PWRDIST",1,2036,0.0496810951044387
"SC","TM01","PWRDIST",1,2037,0.0500802658003001
"SC","TM01","PWRDIST",1,2038,0.0504838005230118
"SC","TM01","PWRDIST",1,2039,0.159249768236771
"SC","TM01","PWRDIST",1,2040,0.0513041621018226
"SC","TM01","PWRDIST",1,2041,0.161844922017104
"SC","TM01","PWRDIST",1,2042,0.163163847657827
"SC","TM01","PWRDIST",1,2043,0.0525686870980068
"SC","TM01","PWRDIST",1,2044,0.0532795790458388
"SC","TM01","PWRDIST",1,2045,0.0539904709936709
"SC","TM01","PWRDIST",1,2046,0.0547013623425424
